Designator,Mid X,Mid Y,Rotation,Layer
BZ1,193.198,-166.243,0.0,bottom
C1,166.37,-190.246,0.0,bottom
C2,161.036,-190.246,180.0,bottom
C3,168.786,-194.945,0.0,bottom
C5,171.704,-207.137,90.0,bottom
C6,181.0766,-183.1086,90.0,bottom
F1,164.4,-204.5,0.0,bottom
J1,197.358,-199.136,90.0,bottom
J2,155.5625,-199.5,270.0,top
J3,177.023,-219.842,270.0,bottom
Q1,182.9585,-144.272,0.0,bottom
Q2,158.242,-171.704,90.0,bottom
Q3,198.1685,-185.801,270.0,bottom
Q4,156.21,-161.544,270.0,bottom
Q5,162.1305,-220.406,180.0,bottom
Q6,185.8495,-220.472,180.0,bottom
Q7,182.7045,-160.782,0.0,bottom
R1,174.825,-159.175,90.0,bottom
R10,167.513,-214.757,270.0,bottom
R11,164.719,-214.757,90.0,bottom
R12,186.436,-215.926,270.0,bottom
R13,189.484,-218.974,270.0,bottom
R14,165.1,-199.491,90.0,bottom
R15,162.56,-199.491,90.0,bottom
R16,160.02,-199.491,90.0,bottom
R17,176.276,-199.136,90.0,bottom
R18,178.689,-199.136,90.0,bottom
R19,189.738,-195.961,90.0,bottom
R2,158.75,-165.1,0.0,bottom
R20,186.563,-194.818,90.0,bottom
R21,163.55,-152.908,0.0,bottom
R22,198.374,-155.194,90.0,bottom
R23,183.896,-175.032,90.0,bottom
R24,188.24,-185.166,180.0,bottom
R25,162.28,-209.296,0.0,bottom
R26,183.642,-215.9,270.0,bottom
R27,183.642,-166.09,270.0,bottom
R3,179.451,-149.987,90.0,bottom
R4,179.451,-144.653,90.0,bottom
R5,158.75,-167.767,0.0,bottom
R6,154.178,-171.196,270.0,bottom
R7,197.586,-189.992,180.0,bottom
R8,161.29,-162.306,180.0,bottom
R9,196.85,-175.006,0.0,bottom
SW1,157.0,-150.0,0.0,top
SW5,157.0,-183.0,0.0,top
SW6,157.0,-216.0,0.0,top
SW7,193.0,-150.0,0.0,top
SW8,193.0,-183.0,0.0,top
SW9,193.0,-216.0,0.0,top
TP1,174.498,-194.056,0.0,bottom
TP2,171.196,-191.643,0.0,bottom
U1,170.753,-199.39,270.0,bottom
U2,177.546,-209.296,180.0,bottom
U3,176.1375,-180.575,90.0,bottom
