Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_EIA-6032-28_Kemet-C,2,10u,
"C10, C8, C9",1206,3,1u,
C3,1206,1,4u7,
"C4, C5, C6, C7",0805,4,100n,
"D1, D2, D3",D_SMA,3,1J,
"D4, D5, D6",LED_D3.0mm,3,G,
FL1,Murata_NFM61R,1,62R,
J2,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",1,~,
J3,PinHeader_2x03_P2.54mm_Vertical,1,AVR-UPDI-6,
J4,"PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",1,Screw_Terminal_01x03,
J5,"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",1,Screw_Terminal_01x02,
"K1, K2, K3",Relay_SPDT_Omron_G2RL-1-E,3,Relay_SPDT,
"Q1, Q2, Q3",SOT-23,3,IRLML0030,
"R10, R11, R12",1206,3,10k,
"R4, R5, R6",1206,3,22,
"R7, R8, R9",1206,3,680,
"RV1, RV2, RV3",RV_Disc_D9mm_W3.3mm_P5mm,3,471K,
U1,SOT-223-3_TabPin2,1,LM1117MP-5.0,
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny824-SS,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LT1785AxS8,
